Name,Artist,Album
Aaj Kal Zindagi,Shankar Mahadevan,Wake Up Sid
ALL GONE,Crawdad Republic,CRAWDAD REPUBLIC
California,U2,Songs of Innocence
CAN'T KEEP A GOOD MAN DOWN,Crawdad Republic,CRAWDAD REPUBLIC
Cedarwood Road,U2,Songs of Innocence
Closure,Opeth,Damnation
Death Whispered A Lullaby,Opeth,Damnation
Der Lagi Lekin,Shankar Mahadevan,Zindagi Na Milegi Dobara
DUST OFF YOUR BOOTS,Crawdad Republic,CRAWDAD REPUBLIC
Ending Credits,Opeth,Damnation
Every Breaking Wave,U2,Songs of Innocence
Geet,Amit Trivedi,Udaan
GET ENOUGH,Crawdad Republic,CRAWDAD REPUBLIC
Hope Leaves,Opeth,Damnation
ICEBERG MEADOWS,Crawdad Republic,CRAWDAD REPUBLIC
In My Time Of Need,Opeth,Damnation
Iris ,U2,Songs of Innocence
LONG AND THE SHORT OF IT,Crawdad Republic,CRAWDAD REPUBLIC
Manja,Amit Trivedi,Kai Po Che (2013)
Maston Ka Jhund,Shankar Mahadevan,Bhaag Milkha Bhaag (2013)
NOTHING TO SHOW,Crawdad Republic,CRAWDAD REPUBLIC
Raised By Wolves,U2,Songs of Innocence
Sleep Like a Baby Tonight,U2,Songs of Innocence
Slow Motion Angreza ,Shankar Mahadevan,Bhaag Milkha Bhaag (2013)
Song for Someone,U2,Songs of Innocence
STONES RIVER,Crawdad Republic,CRAWDAD REPUBLIC
The Miracle,U2,Songs of Innocence
The Troubles,U2,Songs of Innocence
This Is Where You Can Reach Me Now,U2,Songs of Innocence
To Rid The Disease,Opeth,Damnation
Volcano,U2,Songs of Innocence
WE'RE ALL GONNA DIE,Crawdad Republic,CRAWDAD REPUBLIC
Weakness,Opeth,Damnation
WHEN NO ONE IS AROUND,Crawdad Republic,CRAWDAD REPUBLIC
Windowpane,Opeth,Damnation
Zinda,Amit Trivedi,Lootera (2013)
Zinda,Shankar Mahadevan,Bhaag Milkha Bhaag (2013)